,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
0,James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,Avatar,Wes Studi,James Cameron Joel David Moore Action Adventure Fantasy Sci-Fi CCH Pounder Wes Studi
1,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End,Jack Davenport,Gore Verbinski Orlando Bloom Action Adventure Fantasy Johnny Depp Jack Davenport
2,Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,Spectre,Stephanie Sigman,Sam Mendes Rory Kinnear Action Adventure Thriller Christoph Waltz Stephanie Sigman
3,Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,The Dark Knight Rises,Joseph Gordon-Levitt,Christopher Nolan Christian Bale Action Thriller Tom Hardy Joseph Gordon-Levitt
5,Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,John Carter,Polly Walker,Andrew Stanton Samantha Morton Action Adventure Sci-Fi Daryl Sabara Polly Walker
6,Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,Spider-Man 3,Kirsten Dunst,Sam Raimi James Franco Action Adventure Romance J.K. Simmons Kirsten Dunst
7,Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Tangled,M.C. Gainey,Nathan Greno Donna Murphy Adventure Animation Comedy Family Fantasy Musical Romance Brad Garrett M.C. Gainey
8,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron,Scarlett Johansson,Joss Whedon Robert Downey Jr. Action Adventure Sci-Fi Chris Hemsworth Scarlett Johansson
9,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince,Rupert Grint,David Yates Daniel Radcliffe Adventure Family Fantasy Mystery Alan Rickman Rupert Grint
10,Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice,Alan D. Purwin,Zack Snyder Lauren Cohan Action Adventure Sci-Fi Henry Cavill Alan D. Purwin
11,Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,Superman Returns,Frank Langella,Bryan Singer Marlon Brando Action Adventure Sci-Fi Kevin Spacey Frank Langella
12,Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,Quantum of Solace,Rory Kinnear,Marc Forster Mathieu Amalric Action Adventure Giancarlo Giannini Rory Kinnear
13,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Jack Davenport,Gore Verbinski Orlando Bloom Action Adventure Fantasy Johnny Depp Jack Davenport
14,Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,The Lone Ranger,Tom Wilkinson,Gore Verbinski Ruth Wilson Action Adventure Western Johnny Depp Tom Wilkinson
